Index,main_speaker,title,details,posted,url,
1411,James Orsulak,Why we need to move manufacturing off-planet,"All our manufacturing currently takes place on Earth and, as a result, all its harmful byproducts and wasteful processes end up wreaking Earthbound havoc. In this forward-thinking talk, James Orsulak argues that the fix is to move manufacturing operations off-planet, using automated labor to mine resources and perform all those ecosystem-destabilizing processes in the void of space. ""If we do this, we reverse the human supply chain,"" he says. ""Imagine if you walked outside one day and there were no factories, power plants, refineries or oil rigs. We've now zoned the earth for residential access only.""",Posted Jan 2018,https://www.ted.com/talks/james_orsulak_why_we_need_to_move_manufacturing_off_planet,
1412,Lana Mazahreh,3 thoughtful ways to conserve water,"According to the UN, nearly one in three people worldwide live in a country facing a water crisis, and less than five percent of the world lives in a country that has more water today than it did 20 years ago. Lana Mazahreh grew up in Jordan, a state that has experienced absolute water scarcity since 1973, where she learned how to conserve water as soon as she was old enough to learn how to write her name. In this practical talk, she shares three lessons from water-poor countries on how to save water and address what's fast becoming a global crisis.",Posted Jan 2018,https://www.ted.com/talks/lana_mazahreh_3_thoughtful_ways_to_conserve_water,
1413,Lisa Feldman Barrett,You aren't at the mercy of your emotions — your brain creates them,"Can you look at someone's face and know what they're feeling? Does everyone experience happiness, sadness and anxiety the same way? What are emotions anyway? For the past 25 years, psychology professor Lisa Feldman Barrett has mapped facial expressions, scanned brains and analyzed hundreds of physiology studies to understand what emotions really are. She shares the results of her exhaustive research -- and explains how we may have more control over our emotions than we think.",Posted Jan 2018,https://www.ted.com/talks/lisa_feldman_barrett_you_aren_t_at_the_mercy_of_your_emotions_your_brain_creates_them,
1414,Christopher Ategeka,How adoption worked for me,"Talent is universal, but opportunity isn't, says TED Fellow Christopher Ategeka. In this charming, hopeful talk, Ategeka tells his story of being orphaned at a young age -- and how being adopted gave him the chance to experience a new culture, acquire an education and live up to his full potential. ""We may not be able to solve the bigotry and the racism of this world today,"" Ategeka says, ""But certainly we can raise children to create a positive, inclusive, connected world full of empathy, love and compassion.""",Posted Jan 2018,https://www.ted.com/talks/christopher_ategeka_how_adoption_worked_for_me,
1415,Brian Christian,How to manage your time more effectively (according to machines),"Human beings and computers alike share the challenge of how to get as much done as possible in a limited time. Over the last fifty or so years, computer scientists have learned a lot of good strategies for managing time effectively— and they have a lot of experience with what can go wrong. Brian Christian shares how we can use some of these insights to help make the most of our own lives. [Directed by Draško Ivezić, narrated by Addison Anderson].",Posted Jan 2018,https://www.ted.com/talks/brian_christian_how_to_manage_your_time_more_effectively_according_to_machines,
1416,Heather Lanier,"""Good"" and ""bad"" are incomplete stories we tell ourselves","Heather Lanier's daughter Fiona has Wolf-Hirschhorn syndrome, a genetic condition that results in developmental delays -- but that doesn't make her tragic, angelic or any of the other stereotypes about kids like her. In this talk about the beautiful, complicated, joyful and hard journey of raising a rare girl, Lanier questions our assumptions about what makes a life ""good"" or ""bad,"" challenging us to stop fixating on solutions for whatever we deem not normal, and instead to take life as it comes.",Posted Dec 2017,https://www.ted.com/talks/heather_lanier_good_and_bad_are_incomplete_stories_we_tell_ourselves,
1417,Christian Benimana,The next generation of African architects and designers,"Christian Benimana wants to build a network of architects who can help Africa's booming cities flourish in sustainable, equitable ways -- balancing growth with values that are uniquely African. From Nigeria to Burkina Faso and beyond, he shares examples of architecture bringing communities together. A pan-African movement of architects, designers and engineers on the continent and in diaspora are learning from and inspiring each other, and Benimana invites us to imagine future African cities as the most resilient, socially inclusive places on earth.",Posted Dec 2017,https://www.ted.com/talks/christian_benimana_the_next_generation_of_african_architects_and_designers,
1418,Deb Willis and Hank Willis Thomas,A mother and son united by love and art,"An art school professor once told Deb Willis that she, as a woman, was taking a place from a good man -- but the storied photographer says she instead made a space for a good man, her son Hank Willis Thomas. In this moving talk, the mother and son artists describe how they draw from one another in their work, how their art challenges mainstream narratives about black life and black joy, and how, ultimately, everything comes down to love.",Posted Dec 2017,https://www.ted.com/talks/deb_willis_and_hank_willis_thomas_a_mother_and_son_united_by_love_and_art,
1419,Yvette Alberdingk Thijm,The power of citizen video to create undeniable truths,"Could smartphones and cameras be our most powerful weapons for social justice? Through her organization Witness, Yvette Alberdingk Thijm is developing strategies and technologies to help activists use video to protect and defend human rights. She shares stories of the growing power of distant witnesses -- and a call to use the powerful tools at our disposal to capture incidents of injustice.",Posted Dec 2017,https://www.ted.com/talks/yvette_alberdingk_thijm_the_power_of_citizen_video_to_create_undeniable_truths,
1420,Tasha Eurich,Increase your self-awareness with one simple fix,"We'd all like to believe we're self-aware, but in reality, the facts point to a more sobering truth. Organizational psychologist Tasha Eurich has spent the last 4 years researching what it truly means to be self-aware, and in the process, has made a surprising discovery about human perception. In this illuminating talk, Eurich dissects common misbeliefs about introspective thinking and provides a simple way we can get to know ourselves just a little bit better.",Posted Dec 2017,https://www.ted.com/talks/tasha_eurich_increase_your_self_awareness_with_one_simple_fix,
1421,Natalie Fee,"Plastic pollution, our toilets and us","Those of us who recycle diligently and turn down plastic bags at the supermarket tend to think of plastic pollution as someone else's problem. Environmental campaigner Natalie Fee begs to differ. A significant portion of the plastic contaminants choking our oceans comes from the myriad of objects we flush down our toilets. Luckily, Fee has a three-point solution wrapped in a good many jokes. ",Posted Dec 2017,https://www.ted.com/talks/natalie_fee_plastic_pollution_our_toilets_and_us,
1422,Joel Jackson,"A vehicle built in Africa, for Africa",Joel Jackson wants to reimagine transportation around the needs of the African consumer. He's designed an SUV that's rugged enough for long stretches of uneven terrain and affordable enough to be within reach of those who need it most. Learn more about the challenges of mobility and manufacturing in Africa -- and what a localized motor industry could mean for the future of the continent.,Posted Dec 2017,https://www.ted.com/talks/joel_jackson_a_vehicle_built_in_africa_for_africa,
1423,Tiffany Watt Smith,The history of human emotions,"The words we use to describe our emotions affect how we feel, says historian Tiffany Watt Smith, and they've often changed (sometimes very dramatically) in response to new cultural expectations and ideas. Take nostalgia, for instance: first defined in 1688 as an illness and considered deadly, today it's seen as a much less serious affliction. In this fascinating talk about the history of emotions, learn more about how the language we use to describe how we feel continues to evolve -- and pick up some new words used in different cultures to capture those fleeting feelings in words.",Posted Dec 2017,https://www.ted.com/talks/tiffany_watt_smith_the_history_of_human_emotions,
1424,Javed Akhtar,The gift of words,"""Do you know what I mean?"" Legendary poet, lyricist and screenwriter Javed Akhtar asks why we seem to be losing our power to use words -- and inspires us to better understand and communicate with one another using this near-magical tool that carries our culture across generations. (In Hindi with English subtitles)",Posted Dec 2017,https://www.ted.com/talks/javed_akhtar_the_gift_of_words,
1425,Atul Gawande,Want to get great at something? Get a coach,"How do we improve in the face of complexity? Atul Gawande has studied this question with a surgeon's precision. He shares what he's found to be the key: having a good coach to provide a more accurate picture of our reality, to instill positive habits of thinking, and to break our actions down and then help us build them back up again. ""It's not how good you are now; it's how good you're going to be that really matters,"" Gawande says.",Posted Dec 2017,https://www.ted.com/talks/atul_gawande_want_to_get_great_at_something_get_a_coach,
1426,Angela Wang,How China is changing the future of shopping,"China is a huge laboratory of innovation, says retail expert Angela Wang, and in this lab, everything takes place on people's phones. Five hundred million Chinese consumers -- the equivalent of the combined populations of the US, UK and Germany -- regularly make purchases via mobile platforms, even in brick-and-mortar stores. What will this transformation mean for the future of shopping? Learn more about the new business-as-usual, where everything is ultra-convenient, ultra-flexible and ultra-social.",Posted Dec 2017,https://www.ted.com/talks/angela_wang_how_china_is_changing_the_future_of_shopping,
1427,David Brenner,A new weapon in the fight against superbugs,"Since the widespread use of antibiotics began in the 1940s, we've tried to develop new drugs faster than bacteria can evolve -- but this strategy isn't working. Drug-resistant bacteria known as superbugs killed nearly 700,000 people last year, and by 2050 that number could be 10 million -- more than cancer kills each year. Can physics help? In a talk from the frontiers of science, radiation scientist David Brenner shares his work studying a potentially life-saving weapon: a wavelength of ultraviolet light known as far-UVC, which can kill superbugs safely, without penetrating our skin. Followed by a Q&amp;A with TED Curator Chris Anderson.",Posted Dec 2017,https://www.ted.com/talks/david_brenner_a_new_weapon_in_the_fight_against_superbugs,
1428,Kamau Gachigi,Success stories from Kenya's first makerspace,"Africa needs engineers, but its engineering students often end up working at auditing firms and banks. Why? Kamau Gachigi suspects it's because they don't have the spaces and materials needed to test their ideas and start businesses. To solve this problem, Gachigi started Gearbox, a makerspace and hardware accelerator that provides a rapid prototyping environment for both professionals and people with no formal engineering background. In this forward-thinking talk, he shares some of the extraordinary projects and innovations coming out of his Kenyan fab lab.",Posted Dec 2017,https://www.ted.com/talks/kamau_gachigi_success_stories_from_kenya_s_first_makerspace,
1429,Miho Janvier,Lessons from a solar storm chaser,"Space physicist Miho Janvier studies solar storms: giant clouds of particles that escape from the Sun and can disrupt life on Earth (while also producing amazing auroras). How do you study the atmosphere on the Sun, which burns at temperatures of up to around 10 million degrees Kelvin? With math! Join the TED Fellow as she shares her work trying to better understand how the Sun affects us here on Earth.",Posted Dec 2017,https://www.ted.com/talks/miho_janvier_lessons_from_a_solar_storm_chaser,
1430,Joan Blades and John Gable,Free yourself from your filter bubbles,"Joan Blades and John Gable want you to make friends with people who vote differently than you do. A pair of political opposites, the two longtime pals know the value of engaging in honest conversations with people you don't immediately agree with. Join them as they explain how to bridge the gaps in understanding between people on opposite sides of the political spectrum -- and create opportunities for mutual listening and consideration (and, maybe, lasting friendships).",Posted Dec 2017,https://www.ted.com/talks/joan_blades_and_john_gable_free_yourself_from_your_filter_bubbles,
1431,Alejandro Nespral,Hablemos de la muerte con los niños | Alejandro Nespral | TEDxBariloche,"Esta charla es de un evento TEDx, organizado de manera independiente de las conferencias TED. Más información en: http://ted.com/tedx

Alejandro nos cuenta la importancia de hablar de la muerte con los niños. 
Alejandro es padre, hijo, pediatra, poeta, músico, corredor amateur, idealista e ideador. Alejandro es paliativista, considerándolo su pasión y el rincón desde donde intenta mejorar pedacitos de mundo. Trabaja en el Servicio de Cuidados Paliativos del Hospital Zonal Bariloche. Junto a unos amigos creó en el 2015 la Fundación Ideas Paliativas en Acción, desde donde piensan y desarrollan proyectos destinados a difundir los cuidados paliativos y la cultura del cuidado, especialmente vinculados a enfermedades, muerte y duelo. Nacido en Salta, vivió 30 años en Buenos  Aires y hace 7 que reside en Bariloche. Es padre, hijo, pediatra, poeta, músico, corredor amateur, idealista e ideador. Alejandro es paliativista, considerándolo su pasión y el rincón desde donde intenta mejorar pedacitos de mundo. Trabaja en el Servicio de Cuidados Paliativos del Hospital Zonal Bariloche. Junto a unos amigos creó en el 2015 la Fundación Ideas Paliativas en Acción, desde donde piensan y desarrollan proyectos destinados a difundir los cuidados paliativos y la cultura del cuidado, especialmente vinculados a enfermedades, muerte y duelo.",Posted Dec 2017,https://www.ted.com/talks/alejandro_nespral_hablemos_de_la_muerte_con_los_ninos,
1432,Xavier De Kestelier,Adventures of an interplanetary architect,"How will we live elsewhere in the galaxy? On Earth, natural resources for creating structures are abundant, but sending these materials up with us to the Moon or Mars is clunky and cost-prohibitive. Enter architect Xavier De Kestelier, who has a radical plan to use robots and space dust to 3D print our interplanetary homes. Learn more about the emerging field of space architecture with this fascinating talk about the (potentially) not-too-distant future.",Posted Dec 2017,https://www.ted.com/talks/xavier_de_kestelier_adventures_of_an_interplanetary_architect,
1433,Gautam Bhan,A bold plan to house 100 million people,"Mumbai, Delhi, Chennai, Kolkata -- all the major cities across India have one great thing in common: they welcome people arriving in search of work. But what lies at the other end of such openness and acceptance? Sadly, a shortage of housing for an estimated 100 million people, many of whom end up living in informal settlements. Gautam Bhan, a human settlement expert and researcher, is boldly reimagining a solution to this problem. He shares a new vision of urban India where everyone has a safe, sturdy home. (In Hindi with English subtitles)",Posted Dec 2017,https://www.ted.com/talks/gautam_bhan_a_bold_plan_to_house_100_million_people,
1434,Tal Zaks,The disease-eradicating potential of gene editing,"If our cells are the hardware and our genetic material the operating system, what if we could change a few lines of code? In this cutting-edge science talk, oncologist Dr. Tal Zaks reviews the future of personalized medicine, which may lie with gene-editing vaccines tailored to each patient's immune system, teaching it to overcome the genetic mutations that trigger diseases like cancer. ",Posted Dec 2017,https://www.ted.com/talks/tal_zaks_the_disease_eradicating_potential_of_gene_editing,
1435,Joseph McGill,My quest to sleep in every former slave dwelling in the US,"Behind the ""big house"" in pre-Civil War America, there was often another house, smaller, rougher, and filled with chattel slaves, people who lived and died as another person's property. It's a large piece of American history, but it's too often overlooked or even hidden. How can modern people feel the weight of this history? Joseph McGill, founder of the Slave Dwelling Project, has a direct suggestion: Spend a night where slaves once lived. ""Sleeping in these places, we get the opportunity to make these connections to our past,"" he says. ""They're telling the whole story.""",Posted Dec 2017,https://www.ted.com/talks/joseph_mcgill_my_quest_to_sleep_in_every_former_slave_dwelling_in_the_us,
1436,Nadine Hachach-Haram,How augmented reality could change the future of surgery,"If you're undergoing surgery, you want the best surgical team to collaborate on your case, no matter where they are. Surgeon and entrepreneur Nadine Hachach-Haram is developing a new system that helps surgeons operate together and train one another on new techniques -- from remote locations using low-cost augmented reality tools. Watch the system in action as she joins a surgeon in Minnesota performing a knee surgery, live on her laptop from the TED stage in New Orleans. As Hachach-Haram says: ""Through simple, everyday devices that we take for granted, we can really do miraculous things."" (This talk contains graphic images of surgery.)",Posted Dec 2017,https://www.ted.com/talks/nadine_hachach_haram_how_augmented_reality_could_change_the_future_of_surgery,
1437,Devita Davison,How urban agriculture is transforming Detroit,"There's something amazing growing in the city of Detroit: healthy, accessible, delicious, fresh food. In a spirited talk, fearless farmer Devita Davison explains how features of Detroit's decay actually make it an ideal spot for urban agriculture. Join Davison for a walk through neighborhoods in transformation as she shares stories of opportunity and hope. ""These aren't plots of land where we're just growing tomatoes and carrots,"" Davison says. ""We're building social cohesion as well as providing healthy, fresh food.""",Posted Dec 2017,https://www.ted.com/talks/devita_davison_how_urban_agriculture_is_transforming_detroit,
1438,Dao Nguyen,What makes something go viral?,"What's the secret to making content people love? Join BuzzFeed's Publisher Dao Nguyen for a glimpse at how her team creates their tempting quizzes, lists and videos -- and learn more about how they've developed a system to understand how people use content to connect and create culture.",Posted Dec 2017,https://www.ted.com/talks/dao_nguyen_what_makes_something_go_viral,
1439,Alastair Gray,How fake handbags fund terrorism and organized crime,"What's the harm in buying a knock-off purse or a fake designer watch? According to counterfeit investigator Alastair Gray, fakes like these fund terrorism and organized crime. Learn more about the trillion-dollar underground economy of counterfeiting -- from the criminal organizations that run it to the child labor they use to produce its goods -- as well as measures you can take to help stop it. ""Let's shine a light on the dark forces of counterfeiting that are hiding in plain sight,"" Gray says.",Posted Dec 2017,https://www.ted.com/talks/alastair_gray_how_fake_handbags_fund_terrorism_and_organized_crime,
1440,Martina Flor,The secret language of letter design,"Look at the letters around you: on street signs, stores, restaurant menus, the covers of books. Whether you realize it or not, the letters are speaking to you, telling you something beyond the literal text -- that whatever they represent is modern or finely crafted or fantastical or zany. Learn to decode this secret language with lettering designer Martina Flor as she explains how altering the shapes, colors and textures of letters changes how we perceive them. (In Spanish with English subtitles)",Posted Dec 2017,https://www.ted.com/talks/martina_flor_the_secret_language_of_letter_design,
1441,Dan Gartenberg,The brain benefits of deep sleep — and how to get more of it,"There's nothing quite like a good night's sleep. What if technology could help us get more out of it? Dan Gartenberg is working on tech that stimulates deep sleep, the most regenerative stage which (among other wonderful things) might help us consolidate our memories and form our personalities. Find out more about how playing sounds that mirror brain waves during this stage might lead to deeper sleep -- and its potential benefits on our health, memory and ability to learn.",Posted Dec 2017,https://www.ted.com/talks/dan_gartenberg_the_brain_benefits_of_deep_sleep_and_how_to_get_more_of_it,
1442,WOLF,A marriage of opposites: Krump meets Mozart,"Artist WOLF embodies the art of krumping from the subtlest movement to the largest, exaggerated jabs. He surprises and delights the TED@BCG audience with his juxtaposition of hard-hitting krump with the drama of classical music from the greats.",Posted Dec 2017,https://www.ted.com/talks/wolf_a_marriage_of_opposites_krump_meets_mozart,
1443,Philipp Gerbert,The basics of AI for business,"On the TED@BCG stage, AI pathfinder Philipp Gerbert dispels the myth of AI as a complex and mysterious tool for business. In reality, he says, even those of us outside Silicon Valley can have an intimate understanding of AI and put it to work today. Gerbert walks us through the ABC's of AI and what it can mean for your organization.",Posted Dec 2017,https://www.ted.com/talks/philipp_gerbert_the_basics_of_ai_for_business,
1444,Kevin Bethune,The 4 superpowers of design,"Design veteran Kevin Bethune argues that designers' talents are often undervalued in business. He says that all designers have four key superpowers: x-ray vision, shapeshifting, extrasensory perception (ESP) and the ability to make others superhuman. Sound unbelievable? Watch and learn what can happen when designers are given space in the workplace to thrive and grow.",Posted Dec 2017,https://www.ted.com/talks/kevin_bethune_the_4_superpowers_of_design,
1445,Erica Joy Baker,"How do we bridge the ""anxiety gap"" at work?","When was the last time you felt like an outsider? Now imagine if you felt that way every time you entered your workplace. This is what many women and people of color feel every day at work, especially in the tech industry -- they have to overcome the anxiety of being treated like an outsider before they can do the work they were actually hired to do. This isn't good for company morale or productivity. So what can employers do about it? Erica Joy Baker shares her first hand experience with overcoming the ""anxiety gap"" and advice on how to close it.",Posted Dec 2017,https://www.ted.com/talks/erica_joy_baker_how_do_we_bridge_the_anxiety_gap_at_work,
1446,Michael Ringel,External innovation basics from an R&D expert,The bad news: the best ideas live outside of your organization. The good news: they don't have to stay there. Innovation instigator Michael Ringel has consulted for major corporations about the best ways to bring innovation into their companies and has a collaborative solution that any company -- if done the right way -- can tap into: external innovation.,Posted Dec 2017,https://www.ted.com/talks/michael_ringel_external_innovation_basics_from_an_r_d_expert,
1447,Justin Baldoni,"Why I'm done trying to be ""man enough""","Justin Baldoni wants to start a dialogue with men about redefining masculinity -- to figure out ways to be not just good men but good humans. In a warm, personal talk, he shares his effort to reconcile who he is with who the world tells him a man should be. And he has a challenge for men: ""See if you can use the same qualities that you feel make you a man to go deeper,"" Baldoni says. ""Your strength, your bravery, your toughness: Are you brave enough to be vulnerable? Are you strong enough to be sensitive? Are you confident enough to listen to the women in your life?""",Posted Dec 2017,https://www.ted.com/talks/justin_baldoni_why_i_m_done_trying_to_be_man_enough,
1448,Luvvie Ajayi,Get comfortable with being uncomfortable,"Luvvie Ajayi isn't afraid to speak her mind or to be the one dissenting voice in a crowd, and neither should you. ""Your silence serves no one,"" says the writer, activist and self-proclaimed professional troublemaker. In this bright, uplifting talk, Ajayi shares three questions to ask yourself if you're teetering on the edge of speaking up or quieting down -- and encourages all of us to get a little more comfortable with being uncomfortable.",Posted Dec 2017,https://www.ted.com/talks/luvvie_ajayi_get_comfortable_with_being_uncomfortable,
1449,G.T. Bynum,A Republican mayor's plan to replace partisanship with policy,"Conventional wisdom says that to win an election, you need to play to your constituencies' basest, most divisive instincts. But as a candidate for mayor of Tulsa, Oklahoma, G.T. Bynum decided to skip the smear campaigns, tell voters what he wanted to accomplish and give them ways to measure his success -- and it led him to win the election. In a hopeful, funny talk, Bynum shares how he's tackling his city's most pressing issues and says that we need to set aside philosophical disagreements and focus on the aspirations that unite us.",Posted Nov 2017,https://www.ted.com/talks/g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,
1450,Sebastian Thrun and Chris Anderson,What AI is — and isn't,"Educator and entrepreneur Sebastian Thrun wants us to use AI to free humanity of repetitive work and unleash our creativity. In an inspiring, informative conversation with TED Curator Chris Anderson, Thrun discusses the progress of deep learning, why we shouldn't fear runaway AI and how society will be better off if dull, tedious work is done with the help of machines. ""Only one percent of interesting things have been invented yet,"" Thrun says. ""I believe all of us are insanely creative ... [AI] will empower us to turn creativity into action.""",Posted Nov 2017,https://www.ted.com/talks/sebastian_thrun_and_chris_anderson_what_ai_is_and_isn_t,
1451,Natsai Audrey Chieza,Fashion has a pollution problem — can biology fix it?,"Natsai Audrey Chieza is a designer on a mission -- to reduce pollution in the fashion industry while creating amazing new things to wear. In her lab, she noticed that the bacteria Streptomyces coelicolor makes a striking red-purple pigment, and now she's using it to develop bold, color-fast fabric dye that cuts down on water waste and chemical runoff, compared with traditional dyes. And she isn't alone in using synthetic biology to redefine our material future; think -- ""leather"" made from mushrooms and superstrong yarn made from spider-silk protein. We're not going to build the future with fossil fuels, Chieza says. We're going to build it with biology.",Posted Nov 2017,https://www.ted.com/talks/natsai_audrey_chieza_fashion_has_a_pollution_problem_can_biology_fix_it,
1452,Matilda Ho,The future of good food in China,"Fresh food free of chemicals and pesticides is hard to come by in China: in 2016, the Chinese government revealed half a million food safety violations in just nine months. In the absence of safe, sustainable food sources, TED Fellow Matilda Ho launched China's first online farmers market, instituting a zero-tolerance test towards pesticides, antibiotics and hormones in food. She shares how she's growing her platform from the ground up and bringing local, organically grown food to the families that need it.",Posted Nov 2017,https://www.ted.com/talks/matilda_ho_the_future_of_good_food_in_china,
1453,Lyra McKee,How uncomfortable conversations can save lives,"Growing up as a gay teen in Northern Ireland, Lyra McKee had her share of disagreements with the Church and, as a journalist in her 20s, found herself estranged from religious institutions. It wasn't until 2017 and an unexpected conversation about LGBTQ rights in an Orlando mosque that she found herself reckoning with the influence of religion on marginalized lives. ""I realized that I couldn't run away from religion anymore because religion shapes how LGBT people are treated in the world,"" she says. In this hopeful talk, she points out plentiful evidence that religious institutions are capable of embracing LGBTQ rights and that the process begins with having that first difficult conversation.",Posted Nov 2017,https://www.ted.com/talks/lyra_mckee_how_uncomfortable_conversations_can_save_lives,
1454,Masha Gershman,How math can prepare new generations for the future,"During the Cold War, Soviet educators were tasked with raising citizens who could out-innovate and out-build their American counterparts. One of their primary tools for doing so? Math. Educator Masha Gershman describes how the adaptive, highly social Soviet approach to teaching math can be deployed to prep new generations for an ever-shifting future.
",Posted Nov 2017,https://www.ted.com/talks/masha_gershman_how_math_can_prepare_new_generations_for_the_future,
1455,Keller Rinaudo,How we're using drones to deliver blood and save lives,"Keller Rinaudo wants everyone on earth to have access to basic health care, no matter how hard it is to reach them. With his start-up Zipline, he has created the world's first drone delivery system to operate at national scale, transporting blood and plasma to remote clinics in East Africa with a fleet of electric autonomous aircraft. Find out how Rinaudo and his team are working to transform health care logistics throughout the world -- and inspiring the next generation of engineers along the way.",Posted Nov 2017,https://www.ted.com/talks/keller_rinaudo_how_we_re_using_drones_to_deliver_blood_and_save_lives,
1456,Elizabeth Blackburn,The science of cells that never get old,"What makes our bodies age ... our skin wrinkle, our hair turn white, our immune systems weaken? Biologist Elizabeth Blackburn shares a Nobel Prize for her work finding out the answer, with the discovery of telomerase: an enzyme that replenishes the caps at the end of chromosomes, which break down when cells divide. Learn more about Blackburn's groundbreaking research -- including how we might have more control over aging than we think.",Posted Nov 2017,https://www.ted.com/talks/elizabeth_blackburn_the_science_of_cells_that_never_get_old,
1457,Macinley Butson,How ancient technology inspired my award-winning inventions,"Macinley Butson has won multiple awards for her inventions, including a device that improves protection from radiation during breast cancer treatment and a project enhancing the effectiveness of solar panels. In this talk, she shares how these forward-thinking endeavors were inspired by centuries-old technology, and how scientists need to shed their preconceptions about each other and their predecessors in order to do good work.",Posted Nov 2017,https://www.ted.com/talks/macinley_butson_how_ancient_technology_inspired_my_award_winning_inventions,
1458,Leah Chase and Pat Mitchell,An interview with the Queen of Creole Cuisine,"Leah Chase's New Orleans restaurant Dooky Chase changed the course of American history over gumbo and fried chicken. During the civil rights movement, it was a place where white and black people came together, where activists planned protests and where the police entered but did not disturb -- and it continues to operate in the same spirit today. In conversation with TEDWomen Curator Pat Mitchell, the 94-year old Queen of Creole Cuisine shares her wisdom from a lifetime of activism, speaking up and cooking.",Posted Nov 2017,https://www.ted.com/talks/leah_chase_and_pat_mitchell_an_interview_with_the_queen_of_creole_cuisine,
1459,Mariano Sigman and Dan Ariely,How can groups make good decisions?,"We all know that when we make decisions in groups, they don't always go right -- and sometimes they go very wrong. How can groups make good decisions? With his colleague Dan Ariely, neuroscientist Mariano Sigman has been inquiring into how we interact to reach decisions by performing experiments with live crowds around the world. In this fun, fact-filled explainer, he shares some intriguing results -- as well as some implications for how it might impact our political system. In a time when people seem to be more polarized than ever, Sigman says, better understanding how groups interact and reach conclusions might spark interesting new ways to construct a healthier democracy.",Posted Nov 2017,https://www.ted.com/talks/mariano_sigman_and_dan_ariely_how_can_groups_make_good_decisions,
1460,Crystal Martin,Small ways women can support each other at work,"Crystal Martin landed her first job in tech helping women learn code, but there was just one problem, no one would listen to her in meetings. ""Why is it that 41% of women leave the tech field within their tenth year? In my opinion, it's because of messages like keep your head down and say nothing."" In this energetic talk, Martin pushes for women to advocate for one another in the workplace, stressing that hard work does not speak for itself--you do.",Posted Nov 2017,https://www.ted.com/talks/crystal_martin_small_ways_women_can_support_each_other_at_work_jan_2017,
1461,Sarah Corbett,Activism needs introverts,"For the introverts among us, traditional forms activism like marches, protests and door-to-door canvassing can be intimidating and stressful. Take it from Sarah Corbett, a former professional campaigner and self-proclaimed introvert. She introduces us to ""craftivism,"" a quieter form of activism that uses handicrafts as a way to get people to slow down and think deeply about the issues they're facing, all while engaging the public more gently. Who says an embroidered handkerchief can't change the world?",Posted Nov 2017,https://www.ted.com/talks/sarah_corbett_activism_needs_introverts,
1462,Scott Galloway,"How Amazon, Apple, Facebook and Google manipulate our emotions","The combined market capitalization of Amazon, Apple, Facebook and Google is now equivalent to the GDP of India. How did these four companies come to infiltrate our lives so completely? In a spectacular rant, Scott Galloway shares insights and eye-opening stats about their dominance and motivation -- and what happens when a society prizes shareholder value over everything else. Followed by a Q&amp;A with TED Curator Chris Anderson. (Note: This talk contains graphic language.)",Posted Nov 2017,https://www.ted.com/talks/scott_galloway_how_amazon_apple_facebook_and_google_manipulate_our_emotions,
1463,Niti Bhan,The hidden opportunities of the informal economy,"Niti Bhan studies business strategy for Africa's informal markets: the small shops and stands, skilled craftspeople and laborers who are the invisible engine that keeps the continent's economy running. It's tempting to think of these workers as tax-dodgers, even criminals -- but Bhan makes the case that this booming segment of the economy is legitimate and worthy of investment. ""These are the fertile seeds of businesses and enterprises,"" Bhan says. ""Can we start by recognizing these skills and occupations?""",Posted Nov 2017,https://www.ted.com/talks/niti_bhan_the_hidden_opportunities_of_the_informal_economy,
1464,Per Espen Stoknes,How to transform apocalypse fatigue into action on global warming,"The biggest obstacle to dealing with climate disruptions lies between your ears, says psychologist and economist Per Espen Stokes. He's spent years studying the defenses we use to avoid thinking about the demise of our planet -- and figuring out a new way of talking about global warming that keeps us from shutting down. Step away from the doomsday narratives and learn how to make caring for the earth feel personable, do-able and empowering with this fun, informative talk.",Posted Nov 2017,https://www.ted.com/talks/per_espen_stoknes_how_to_transform_apocalypse_fatigue_into_action_on_global_warming,
1465,Kayla Briët,Why do I make art? To build time capsules for my heritage,"Kayla Briët creates art that explores identity and self-discovery -- and the fear that her culture may someday be forgotten. She shares how she found her creative voice and reclaimed the stories of her Dutch-Indonesian, Chinese and Native American heritage by infusing them into film and music time capsules.",Posted Nov 2017,https://www.ted.com/talks/kayla_briet_why_do_i_make_art_to_build_time_capsules_for_my_heritage,
1466,Christen Reighter,I don't want children — stop telling me I'll change my mind,"One in five women in the United States will not have a biological child, and Christen Reighter is one of them. From a young age, she knew she didn't want kids, in spite of the insistence of many people (including her doctor) who told her she'd change her mind. In this powerful talk, she shares her story of seeking sterilization -- and makes the case that motherhood is an extension of womanhood, not the definition.",Posted Nov 2017,https://www.ted.com/talks/christen_reighter_i_don_t_want_children_stop_telling_me_i_ll_change_my_mind,
1467,Beth Malone,How my dad's dementia changed my idea of death (and life),"With warmth and grace, Beth Malone tells the deeply personal story of her dad's struggle with frontotemporal lobe dementia, and how it changed how she thinks about death (and life). A moving talk about a daughter's love -- and of letting go and finding peace.",Posted Nov 2017,https://www.ted.com/talks/beth_malone_how_my_dad_s_dementia_changed_my_idea_of_death_and_life,
